documento,url,sha256,bytes,fecha_verificacion
municipio-06077-2026-06-30-1.pdf,https://arrecifes.gob.ar/wp-content/uploads/2026/07/Situacion-Economico-Financiera-Del-02-01-26-al-30-06-26.pdf,cae95d1ad0498c30ee67ecec403eb5dc60028df68ee6508e7361c24d1366191e,336121,2026-09-07
municipio-06084-2026-06-30-1.pdf,https://drive.google.com/uc?export=download&id=1Q1Adx8AwntRQKNft94FDGMN7srlG8dXS,1d14aab4a2f6d4a233f534e02740dd0204e81f3b4eb48b789e01583544471b16,107962,2026-09-07
municipio-06098-2026-06-30-1.pdf,https://berisso.gob.ar/storage/pdfs/37bdfdcf-0d9e-4561-bc44-d276ba895f7f.pdf,467e4d1272bc80265e23f12450d8fe60f65dd6a880c98cffd3dca99447451f97,304640,2026-09-07
municipio-06105-2026-06-30-1.pdf,https://www.bolivar.gob.ar/archivos/2026-2do-trimestre-sit-economica.pdf,21f919bb8dd7c6bbaef6a46512952e3d425d6021ccb8be216d734e806b36b6ab,105282,2026-09-07
municipio-06112-2026-06-30-1.pdf,https://portalbragado.com.ar/informacion_fiscal_presupuestaria/regimen_provincial_fiscal_municipal/planillas_2026/2do_trimestre/8- Situacion Economica Financiera - (Planilla F) - 2do.TRIMESTRE.pdf,a14b60b43d4df45d7df3542d6911b4493cd8ffb9df4c325f61976b1e236a6a88,374264,2026-09-07
municipio-06126-2026-06-30-1.pdf,https://www.campana.gob.ar/wp-content/uploads/2026/07/SEF1S2026.pdf,e56a5b2d1fd3e710d1f4f934488875516f7e8bed75f7f2220f3e2a1e819d6ad8,134422,2026-09-07
municipio-06140-2026-06-30-1.pdf,https://www.capitansarmiento.gob.ar/_files/ugd/df75da_162e44493a1642cb82e859bab15f5c87.pdf,c99f5da809c1475fbeb6c87c04294b7061b8bc5eda9540258572487388369b4a,309452,2026-09-07
municipio-06147-2026-06-30-1.pdf,https://gobabierto.ar/carloscasares/wp-content/uploads/2026/07/SITUACION-ECONOMICO-FINANCIERA.pdf,a4a8c9fb2db6d78af94c4a69b87e09b4593eb75cb8a78a89c5b30a6339dea5cb,215661,2026-09-07
municipio-06154-2026-06-30-1.pdf,https://carlostejedor.gob.ar/wp-content/uploads/simple-file-list/Situacion-Economica-Financiera-2°-Trimestre-2026-1°-Semestre-2026.pdf,e3a6cfb65725899efb0143feefd330e8f8e8721046cd6812324c427e3a47c503,94742,2026-09-07
municipio-06161-2026-06-30-1.pdf,https://carmendeareco.gob.ar/wp-content/uploads/2026/07/Cuenta-Ahorro-Inversion-Financiamiento-Junio.pdf,e2d095f578d1473f0fd11962432313846ceb845bce56e61f65403f3cddf53697,371237,2026-09-07
municipio-06161-2026-06-30-2.pdf,https://carmendeareco.gob.ar/wp-content/uploads/2026/07/Situacion-Economico-Financiera-Junio.pdf,3094cb2627231406dae39f4835af5f971024cc933ca707d5ebecbde0d646bc30,311663,2026-09-07
municipio-06189-2026-06-30-1.pdf,https://dorrego.gob.ar/mun/direcciones/administracion/menu/contabilidad/ejecuciones-trim/2026/trimestre2/Sit_Eco.rpt.pdf,eb9c46d28f31541016d1a54d3cf9d3d729a2072343bbed8787a435f803d4470e,66241,2026-09-07
municipio-06196-2026-06-30-1.pdf,https://www.ciudadabierta.coronelpringles.gov.ar/transparencia/siteconomicafinanciera/2026/S.E.F 1er Semestre 2026.pdf,90c8ab315438c6352d0754c9c04c3ddb7fe4caae4b91f931f5d8daa55d5bfe90,344604,2026-09-07
municipio-06203-2026-06-30-1.pdf,https://www.coronelsuarez.gob.ar/wp-content/uploads/2026/07/Sit-Economico-Fincanciera.pdf,d0853b029cf6517a6a71c67f526e754743c949bef01f107102501d54de6308d6,4811924,2026-09-07
municipio-06210-2026-06-30-1.pdf,https://chacabuco.gob.ar/wp-content/uploads/situacion-financiera/8-7-2026/Situacion-Econo-Financiera%20al%2031-06-26.pdf,2f94dd47ed350fbe259259047baa626d07e889d8c8e1ac698131e3c1e4abd390,107456,2026-09-07
municipio-06218-2026-06-30-1.pdf,https://uploads.chascomus.gob.ar/boletines/Situacion Economico Financiera Semestre I 2026.pdf,de2f69ffb555e378f43c4a5318b2f747a9405a86f6801935141c38109250fdf1,132481,2026-09-07
municipio-06266-2026-06-30-1.pdf,https://www.exaltaciondelacruz.gob.ar/?wpdmpro=situacion-economico-financiera-1o-semestre-2026&wpdmdl=6940&refresh=6a9f3d9f2bb721788820895,9d2c5d56b637bf5f55ac5811a27b6941dbab5030dd74f68195fb486dc94a2fe2,339551,2026-09-07
municipio-06274-2026-06-30-1.pdf,https://florenciovarela.gob.ar/informeseconomicos/imagenes/2026/situacioneconomicofinanciera-del01012026al30062026.pdf,9480160fd8736877b6e169c3830ef90884ae90216c74712ff094073e1d35b0c7,1644736,2026-09-07
municipio-06277-2026-06-30-1.pdf,https://ameghino.gob.ar/wp-content/uploads/2026/07/Situacion-Economico-Financiera-al-30-06-2026-Para-Publicar.pdf,0ceb004a905cb4913d39ff4f7647b8c62372610b4e5ba3a2b85dd084a373b463,304866,2026-09-07
municipio-06280-2026-06-30-1.pdf,https://mga.gov.ar/wp-content/uploads/Situacion-Economica-Financiera-2oTrim_260703_122906.pdf,7ad420c18235c0b04b348c701bd209b93669e09f899e6cb1d60cd19a43451f7c,312248,2026-09-07
municipio-06287-2026-06-30-1.pdf,https://munialvear.gov.ar/wp-content/uploads/hacienda/Situacion%20Economica%20Financiera%201º%20Semestre.pdf,d724887c973f4c304524dcd5dd9c2197568d290484d57e44da1f91ba4826cdc0,301628,2026-09-07
municipio-06301-2026-06-30-1.pdf,https://gestion.generalbelgrano.gob.ar/gobiernoabierto/2026/Información Financiera/Situacion economico-financiera al 30.06.2026.pdf,c9747fc3f5d07ea78bfcd50b158f137598ee85d4da37d459f49a9e1e5555ca16,401228,2026-09-07
municipio-06308-2026-06-30-1.pdf,https://www.generalguido.gob.ar/sites/default/files/seagate_crystal_reports_-_cta_sit_eco_2.pdf,2754a69ff4df845b9765927c6cfcacafc671479a14b9ea14f96b964c115ac6e2,68937,2026-09-07
municipio-06308-2026-06-30-2.pdf,https://www.generalguido.gob.ar/sites/default/files/situacion_economico-financiera_2deg_trimestre.pdf,270882aad4d3772aac01cb48f6a76de265b76c2874a5183dcb2616735c5bacb0,68663,2026-09-07
municipio-06315-2026-06-30-1.pdf,https://www.madariaga.gob.ar/uploads_archivos/rendicion_de_cuentas/edo_economico_financiero_30-6.pdf,9dd6b96f0bc6d5a93a653852be262d8eeb44ed1ebb1fa90aa2606bb8a612e904,304882,2026-09-07
municipio-06322-2026-06-30-1.pdf,https://www.lamadrid.gob.ar/wp-content/uploads/2026/07/Situacion-Ec.-Fciera-30.06.2026.pdf,d08f6c148d639afa44d6747db41da2fbdde2a2a61bd3e76681b6526aab925f17,1361211,2026-09-11
municipio-06329-2026-06-30-1.pdf,https://gobiernodelasheras.com/wp-content/uploads/2026/07/SITECOFIN-1SEM-2026.pdf,135ed8813ecbdc9fb40b32da86a34c0c9e240ceec5017726419014f65124dbfc,319494,2026-09-09
municipio-06336-2026-06-30-1.pdf,https://www.generallavalle.gob.ar/uploads_archivos/situacion-economica-financiera-al-30-06-2026-15.pdf,167531ad29d61b46c63efc6888940fd91db28972c3b6bae60b508e2e864889dd,2234039,2026-09-11
municipio-06357-2026-06-30-1.pdf,https://www.mardelplata.gob.ar/documentos/gobierno_abierto/situacion%20economico%20fciera%2030-06-26.pdf,0ca6cea1f22ca57dd930a6f5e67221309b6b3502fde3e7f28e4dfbec3d2285ce,135047,2026-09-07
municipio-06364-2026-06-30-1.pdf,https://generalrodriguez.gob.ar/uploads/pdf/situacionecono/econo-financiera-al30062026.pdf,26b63880a57cab2ea61c8d87e35fc5f8e850ff244b2becf269b6bb1dc8ec6566,1187676,2026-09-07
municipio-06371-2026-06-30-1.pdf,https://im.sanmartin.gov.ar/uploads/1785210695-Ejecuci%C3%B3n%20Presupuestaria%20de%20Recursos%20por%20Car%C3%A1cter%20Econ%C3%B3mico%2030%20Junio%202026.pdf,a1506fe842d79a44df464e79e4442906a3e3f2c6d9786c713c78b55e96ea150f,303229,2026-09-07
municipio-06371-2026-06-30-2.pdf,https://im.sanmartin.gov.ar/uploads/1785210659-Estado%20de%20Ejecuci%C3%B3n%20de%20Gastos%20por%20Car%C3%A1cter%20Econ%C3%B3mico%20Junio%202026.pdf,a309a2e4ca62b878360c4608ae8eceefe6fdcb32df64dd8049ba6cf5eb3d6270,300482,2026-09-07
municipio-06385-2026-06-30-1.pdf,https://pd00200-my.sharepoint.com/:b:/g/personal/prensa_generalviamonte_gob_ar/IQBUMfTAXw3dTJQc4zr8EXykAYJN_5JaiTWL_nKlhuPXkko?e=QdyH43&download=1,5993d748a9e44f8ea47472d9a675ea01fef049b238da224ed5965d5a552abd09,311901,2026-09-07
municipio-06385-2026-06-30-2.pdf,https://pd00200-my.sharepoint.com/:b:/g/personal/prensa_generalviamonte_gob_ar/IQCRbdOa9nU3TK6natX4QFT7AWpL39jwB7pdeVRYuShR3JA?e=Ba9fi5&download=1,c4b5647ae98beacc7693c4d6052d7314d3dcea13e6f339a164ebb154715000dc,311235,2026-09-07
municipio-06392-2026-06-30-1.pdf,https://villegas.gob.ar/wp-content/uploads/2026/07/CTA_Sit_Eco_30_06_26.pdf,ad82788d76d9c1d765c75c4bdae1b181752d7d174cc5a260bbcf2dcc63bdf681,423455,2026-09-07
municipio-06399-2026-06-30-1.pdf,https://guamini.gob.ar/img/portal/SIT-ECO-FINC-2026-TRM2.pdf,5a5677f8720d0dd85372e29988ea7684e8fdc08857ea52d71dfc30bb4b3aa378,307538,2026-09-07
municipio-06406-2026-06-30-1.pdf,https://www.hipolitoyrigoyen.gob.ar/sites/default/files/situacion_economica_financiera_30-06-26.pdf,5733bdab0edd20d1d402ad0c37955faf60428cf55f0b5b0f3299e274a490966b,44289,2026-09-07
municipio-06412-2026-06-30-1.pdf,https://josecpaz.gob.ar/wp-content/uploads/2026/07/SITUACION-ECONOMICO-FINANCIERA-AL-30-06-26.pdf,57259eb9806b58cc5366be9e5d10b883c53ba8528f409c03f6a3e10ceb554c01,114104,2026-09-07
municipio-06413-2026-06-30-1.pdf,https://www.junin.gob.ar/sites/default/files/1er_semestre_2026.pdf,2afc87435ef2ff577f13972b3d1042b2ef4fad9bc35ed1057cbb3f20f3374d4d,331423,2026-09-07
municipio-06427-2026-06-30-1.pdf,https://www.lamatanza.gov.ar/upload/pdf/economia/informes/2026/2_trim/4.pdf,1e1bedf80ba16301a47cb54ed6bab80537428572fc70d80c6b38021811b90fd4,97534,2026-09-07
municipio-06434-2026-06-30-1.pdf,https://www.lanus.gob.ar/documentos-oficiales/1419/situacion-economico-financiera-1er-semestre-2026/descargar,982adb119fd10350a7789e9d367a8f389857ebce120034569863521e993b3c0d,263298,2026-09-07
municipio-06476-2026-06-30-1.pdf,https://www.loberia.gov.ar/sites/default/files/situacion_economico-financiera_al_30-06-2026_firmado.pdf,9f21d96009240d61c0d9e1aebebccbc9a1b49872007cdb93d87e8a0b8849cc51,688350,2026-09-07
municipio-06483-2026-06-30-1.pdf,https://lobos.gov.ar/estadoscontables/2026_situacioneconomicofinanciera.pdf,8feb360d54491ab266e6a475a5790e4e0dfed9f6204828d90841d2bd50a2b625,138993,2026-09-07
municipio-06497-2026-06-30-1.pdf,http://luj-bue-datos.paisdigital.innovacion.gob.ar/dataset/5163385a-3db9-48c2-8e73-be3946582ff5/resource/e9e63f97-419d-4525-9bf8-7b724378c64a/download/1-semestre-2026-sit-economico-fciera.pdf,98825e77ed13111920a828a162374e38241e4df50a0211ff11e7f7d55a3bac58,262155,2026-09-07
municipio-06515-2026-06-30-1.pdf,https://www.malvinasargentinas.gob.ar/docs/informe-economico/situacion_economica_financiera_periodo_01012026_al_30062026.pdf,106bc8fe5318d556ba36b63c02102f3e04a5e92d97a285536db315f74a2866f7,230332,2026-09-07
municipio-06532-2026-06-30-1.pdf,https://datosabiertos.mercedes.gob.ar/dataset/ccae7d2b-5e29-47c0-bdc3-bbc724f722a4/resource/88aaca48-3bc9-4d18-84dc-46da0bbd4e7d/download/situacion-economica-financiera-2-trimestre-1.pdf,ee69d3edf76ae0fd30b467f865b973212aa0f2fd8704a32a0595dc87ff839832,352472,2026-09-07
municipio-06581-2026-06-30-1.pdf,https://necochea.gov.ar/descargas/transparencia/economica/2026/Situacion-Economico-Financiera-a-30-06-2026.pdf,c9af855517a2a3ab254324b9745b660c7f9bcb647f040e0ea74b661077c5b6b0,368146,2026-09-07
municipio-06595-2026-06-30-1.pdf,https://www.olavarria.gov.ar/wp-content/uploads/2026/07/ESTADO-DE-SITUACION-ECONOMICA-Y-FINANCIERA-AL-30-06-2026.pdf,144a1467e7c5bb22085fa97c051910f8c34bf120901baf0666922a57d0101164,346449,2026-09-07
municipio-06602-2026-06-30-1.pdf,https://drive.google.com/uc?export=download&id=1PeAETNmH9BPd-hHzW_4Xb4z2mD-QvV3O,02702852ae14b414851e1f49fa538eb3d915290610a800ad942690f7a6061ab6,441496,2026-09-07
municipio-06616-2026-06-30-1.pdf,https://pellegrini.gov.ar/uploads/archivos/2026_07_14_estado_economico_financiero_30_06_2026.pdf,6fb596cd5e448e53fe01f20c4abb7d75422de955f940da958a8a02d1f96bc2f9,313863,2026-09-07
municipio-06623-2026-06-30-1.pdf,https://datosabiertos.pergamino.gob.ar/dataset/e3e4beba-8b6e-4c2f-a1df-f943886753f6/resource/cdf19193-cee5-40fc-aa74-8a92b6cd0765/download/situacion-economico-financieara-primer-semestre-2026.pdf,4dc7f2b1cf00ff5be94d9b3f4231a4f92fcc69cfcd11b1173e5fab3fcfa037ed,100908,2026-09-07
municipio-06644-2026-06-30-1.pdf,https://drive.google.com/uc?export=download&id=1S8czXFYenY3P3bya4Bksb13vtLRn-PW6,e5e8c1730fbe779e57eb576c702960ca177e2cf9dde012379ff30af27aa79fa0,256341,2026-09-07
municipio-06651-2026-06-30-1.pdf,https://www.puan.gob.ar/wp-content/uploads/2026/07/Situacion-economico-financiera.pdf,f7c022fb28f28db4bc03c464bdfd566e0991cae24b77346f8fb23d7c363ed26a,77549,2026-09-07
municipio-06658-2026-06-30-1.pdf,https://quilmes.gov.ar/pdf/SITUACION%20ECONOMICA%20FINANCIERA%20AL%2030-06-2026.pdf,6d49a241734062dd230957d45b72e24408b594503a60799a9ddd7ea1e397d73e,107088,2026-09-07
municipio-06672-2026-06-30-1.pdf,http://www.rauch.mun.gba.gov.ar/web/wp-content/uploads/2026/07/SITUACION-ECON-FCIERA-2DO-TRIM-2026.pdf,941304293c5573e73d0c445f3e288eba9014464e47d1514834ac6a4290e31f14,333416,2026-09-07
municipio-06679-2026-06-30-1.pdf,https://munirivadavia.gob.ar/wp-content/uploads/2026/07/5-Situacion-Economica-financiera-30-06-26.pdf,af2de39e03519dd35707fa429102d3a9c010d9f5cd040b0deb8a099748e7a8a7,60903,2026-09-07
municipio-06686-2026-06-30-1.pdf,https://transparencia.rojas.gov.ar/assets/php/finanzas/archivos/0-fin_ecn_trm-ac72f47939d95f5bf8587557a30798d5.pdf,18ce9caf3c7867f45a2c58f37cf33d96abe9d1b2ee0b0623271f5404d5acf05b,317738,2026-09-07
municipio-06707-2026-06-30-1.pdf,https://www.saladillo.gob.ar/sites/default/files/situacion_economico_financiera_del_01-01-2026_al_30-06-2026.pdf,3003379d33d4c201d4381794cbc199a965e556e1c235af40c28ba6ccde6a6e0a,344355,2026-09-07
municipio-06714-2026-06-30-1.pdf,https://salto.gob.ar/wp-content/uploads/2026/07/Situacion-Economica-Financiera.pdf,6945ccdd75a1a7421788f2df1b79329d1e99ac4fb9ab3c0a09a56ef4a58442c2,94928,2026-09-07
municipio-06721-2026-06-30-1.pdf,https://salliquelo.gob.ar/pdf/be503b650bb61d3e.pdf,69e2dae9ebd5fb34beca5097f3afc7b9d8c5bb0affc3b1d8004eb66f93487e7b,71848,2026-09-07
municipio-06728-2026-06-30-1.pdf,https://www.sanandresdegiles.gob.ar/sites/default/files/01-sitecofciera-30-06-2026.pdf,9447a9f77008ddd19d9152177938d19008890a46f14f28a340d22185a8c8cfa3,79566,2026-09-07
municipio-06742-2026-06-30-1.pdf,https://www.hcdsancayetano.gob.ar/economia/economia/Periodo-2026/Junio/PlanillaF_Situacion economico financiera al 30-06-2026.pdf,76a15943d15cd3a9407265d9d3daef97a9a551db75a39e2d8fa20c5ee8f60d74,80855,2026-09-07
municipio-06756-2026-06-30-1.pdf,https://www.sanisidro.gob.ar/sites/default/files/img/situacion_economico_financiera_2026_i_trimestre.pdf,6f226709280d4818dec493bf2a91145d1103f56d2797d07ac47ee943be753a8b,257533,2026-09-07
municipio-06756-2026-06-30-2.pdf,https://www.sanisidro.gob.ar/sites/default/files/img/sef_-_ii_trim_2026_msi.pdf,156ae15757e6becb7c9b764306b478879ed1508524c9726e814865283b8b7671,251060,2026-09-07
municipio-06791-2026-06-30-1.pdf,https://autogestion.tandil.gov.ar/apex/f?p=174:4:12041832000297::NO::P4_ARCHIVO_ID:5061,8c0f9f62e869ffb521459195a2505c970ca3600c3756f590c8bbc1d40313831a,354171,2026-09-07
municipio-06798-2026-06-30-1.pdf,https://www.municipiodetapalque.gob.ar/sites/default/files/2t_-_situacion_economica_financiera.pdf,477da22caeaa211bf7426b1f9b8c5cdeec0c04405489a58818321a780f63beb2,340649,2026-09-07
municipio-06805-2026-06-30-1.pdf,https://www.tigre.gob.ar/public/assets/frontend/documentos/gobierno/informacion_gestion/EJECUCION_PRESUPUESTO_DE_GASTOS_AL_30-06-2026.pdf,58f0fcf385e8d6f0369b5b5474716824779f550e6718a99cd4dbada2be6dcdcf,1780487,2026-09-09
municipio-06805-2026-06-30-2.pdf,https://www.tigre.gob.ar/public/assets/frontend/documentos/gobierno/informacion_gestion/EJECUCION_CALCULO_DE_RECURSOS_AL_30-06-2026.pdf,56a6cb2c67c2cde39c500dd953ba919f5385e08c563efb98b981d1293818e8ff,304717,2026-09-09
municipio-06826-2026-06-30-1.pdf,https://www.trenquelauquen.gov.ar/wordpress/wp-content/uploads/Situacion-Economica-Financiera-II°-trimestre-2026.pdf,61e38d09e942fbde48aac3465ec6ed96dab16506d150a9ae08b832ebdc723259,344135,2026-09-07
municipio-06833-2026-06-30-1.pdf,https://jitsi.tresarroyos.gov.ar/storage/archivos/situacion/2026-muni-sem1-6a450660c9f92.pdf,5003e06dfa98ef00e9eaf9ee22603158d4ae65c65d34127ab49d936c5b32a7a7,60918,2026-09-07
municipio-06840-2026-06-30-1.pdf,https://drive.google.com/uc?export=download&id=19FX8TPMQ9qoUFoJeo202Kqtvsg4MbS4H,9cb92fe63552e1ac1bf1296f744329ab47f7a52e7853232c0c94cf4820f0f3e3,69152,2026-09-07
